st_id,pr_sku_id,date,pr_sales_type_id,pr_sales_in_units,pr_promo_sales_in_units,pr_sales_in_rub,pr_promo_sales_in_rub
c81e728d9d4c2f636f067f89cc14862c,c7b711619071c92bef604c7ad68380dd,2022-10-20,1,5.0,5.0,825.0,825.0
42a0e188f5033bc65bf8d78622277c4e,68f441429e73dbd33b81f95da31576e9,2023-01-29,0,4.0,0.0,196.0,0.0
1ecfb463472ec9115b10c292ef8bc986,22988026fe85fde60d8bf777ab6bc3b4,2023-03-02,0,1.0,0.0,78.0,0.0
42a0e188f5033bc65bf8d78622277c4e,8e887cf8e64ab8e7173701a979476567,2023-04-05,1,0.0,0.0,69.0,69.0
16a5cdae362b8d27a1d8f8c7b78b4330,e6fc24ca846339d204b0b50e9f772484,2023-02-17,0,1.0,0.0,161.0,0.0
42a0e188f5033bc65bf8d78622277c4e,3474f0e025c7deb7e127a35763bc5512,2022-11-03,0,3.0,0.0,123.0,0.0
f7e6c85504ce6e82442c770f7c8606f0,b75c7cbf7accdaea8a1a14781bb29870,2023-02-15,0,0.0,0.0,171.0,0.0
1ecfb463472ec9115b10c292ef8bc986,f5c4b08ce07d102062c2947967ad750e,2023-02-05,0,2.0,0.0,65.0,0.0
1ecfb463472ec9115b10c292ef8bc986,c2155d600945587d417fe45ba5bf6d57,2023-05-09,0,1.0,0.0,124.0,0.0
16a5cdae362b8d27a1d8f8c7b78b4330,de37768f69fca7176ecddcb7e2b320ac,2023-04-13,0,1.0,0.0,34.0,0.0
42a0e188f5033bc65bf8d78622277c4e,58ebafabd92e2e3a80d86b7bb7e88eda,2022-09-18,0,2.0,0.0,361.0,0.0
f7e6c85504ce6e82442c770f7c8606f0,67dcedaa1090d67cef7afe3fb36945b0,2023-03-04,0,2.0,0.0,297.0,0.0
42a0e188f5033bc65bf8d78622277c4e,282984b385d80166ba0d4f32a7843f53,2022-11-30,1,4.0,4.0,398.0,398.0
c81e728d9d4c2f636f067f89cc14862c,930569d31168ec975f903e5dc06e8deb,2023-06-19,1,1.0,1.0,35.0,35.0
1ecfb463472ec9115b10c292ef8bc986,f84ce1249cc0588fe9cddeaac0f3ae50,2022-11-03,0,1.0,0.0,79.0,0.0
c81e728d9d4c2f636f067f89cc14862c,632d19c12f7837dc216f759430694f11,2023-04-18,0,1.0,0.0,24.0,0.0
1ecfb463472ec9115b10c292ef8bc986,8b5beb776da3223faf1f066d5772dc2b,2023-01-02,1,1.0,1.0,199.0,199.0
f7e6c85504ce6e82442c770f7c8606f0,e3334f5df6c5bf053070749a5f70fbc5,2023-04-01,0,1.0,0.0,19.0,0.0
42a0e188f5033bc65bf8d78622277c4e,a9e6d9a4ffe9ece67328c36bf09741bc,2023-02-17,0,4.0,0.0,778.0,0.0
c81e728d9d4c2f636f067f89cc14862c,a6b9d339b86d7e8e1f665b06c3310261,2022-09-13,0,5.0,0.0,492.0,0.0
6364d3f0f495b6ab9dcf8d3b5c6e0b01,dfb085b0647b9ee8ce010670d1e30ab6,2023-01-30,0,2.0,0.0,38.0,0.0
c81e728d9d4c2f636f067f89cc14862c,efe0522512ae92bff7f12e5d5c93e8d9,2022-09-05,0,4.0,0.0,164.0,0.0
42a0e188f5033bc65bf8d78622277c4e,1d2448c22721c94bb0264cf52598522f,2023-07-01,1,4.0,4.0,31.0,31.0
